
===== SHEET: gl_get_glider_data_slocum__2023  (18441x9) =====
DEPLOYMENT	GLIDER PARAMETER	AVAILABLE DATA	JSON FILE	EGO PARAMETER	EGO SENSOR	EGO SENSOR_MAKER	EGO SENSOR_MODEL	EGO SENSOR_SERIAL_NO
ammonite_20070118	c_viper_max_errors	1						
ammonite_20070118	c_viper_max_sample_starts	1						
ammonite_20070118	c_viper_on	1						
ammonite_20070118	c_viper_reset_timeout	1						
ammonite_20070118	c_viper_start_sampling_timeout	1						
ammonite_20070118	c_viper_turn_off_timeout	1						
ammonite_20070118	c_viper_turn_on_timeout	1						
ammonite_20070118	c_weight_drop	1						
ammonite_20070118	c_whfctd_num_fields_to_send	1						
ammonite_20070118	c_whfctd_on	1						
ammonite_20070118	c_whgpbm_num_fields_to_send	1						
ammonite_20070118	c_whgpbm_on	0						
ammonite_20070118	c_whpar_num_fields_to_send	1						
ammonite_20070118	c_whpar_on	1						
ammonite_20070118	c_wpt_lat	1						
ammonite_20070118	c_wpt_lon	1						
ammonite_20070118	c_wpt_x_lmc	1						
ammonite_20070118	c_wpt_y_lmc	1						
ammonite_20070118	c_yo_reread_mafile	1						
ammonite_20070118	cc_bpump_mode	1						
ammonite_20070118	cc_bpump_value	1						
ammonite_20070118	cc_de_eng_mode	1						
ammonite_20070118	cc_depth_state_mode	1						
ammonite_20070118	cc_final_bpump_mode	1						
ammonite_20070118	cc_final_bpump_value	1						
ammonite_20070118	cc_final_de_eng_mode	1						
ammonite_20070118	cc_final_depth_state_mode	1						
ammonite_20070118	cc_final_heading_mode	1						
ammonite_20070118	cc_final_heading_value	0						
ammonite_20070118	cc_final_inflection_mode	1						
ammonite_20070118	cc_final_is_comatose	0						
ammonite_20070118	cc_final_mission_status_mode	1						
ammonite_20070118	cc_final_pitch_mode	1						
ammonite_20070118	cc_final_pitch_value	1						
ammonite_20070118	cc_final_threng_mode	1						
ammonite_20070118	cc_heading_mode	1						
ammonite_20070118	cc_heading_value	0						
ammonite_20070118	cc_inflection_mode	1						
ammonite_20070118	cc_is_comatose	0						
ammonite_20070118	cc_mission_status_mode	1						
ammonite_20070118	cc_pitch_mode	1						
ammonite_20070118	cc_pitch_value	1						
ammonite_20070118	cc_threng_mode	1						
ammonite_20070118	dc_c_ballast_pumped	0						
ammonite_20070118	dc_c_battpos	1						
ammonite_20070118	dc_c_battroll	0						
ammonite_20070118	dc_c_de_updown	1						
ammonite_20070118	dc_c_oil_volume	1						
ammonite_20070118	dc_c_thermal_updown	0						
ammonite_20070118	dhs_channel	0						
ammonite_20070118	dhs_duration	0						
ammonite_20070118	dhs_gain	0						
ammonite_20070118	dhs_sampling	0						
ammonite_20070118	dhs_silence_lvl	0						
ammonite_20070118	dhs_start_time	0						
ammonite_20070118	dhs_valid	0						
ammonite_20070118	dhs_xmit_files	0						
ammonite_20070118	f_altimeter_model	1						
ammonite_20070118	f_argos_format	1						
ammonite_20070118	f_auto_picozoom_heap_reqd	1						
ammonite_20070118	f_ballast_pumped_cal_b	1						
ammonite_20070118	f_ballast_pumped_cal_m	1						
ammonite_20070118	f_ballast_pumped_db_frac_dz	1						
ammonite_20070118	f_ballast_pumped_deadz_width	1						
ammonite_20070118	f_ballast_pumped_nominal_vel	1						
ammonite_20070118	f_ballast_pumped_reqd_vel_frac	1						
ammonite_20070118	f_ballast_pumped_safety_max	1						
ammonite_20070118	f_ballast_pumped_stall_retry	1						
ammonite_20070118	f_battpos_cal_b	1						
ammonite_20070118	f_battpos_cal_m	1						
ammonite_20070118	f_battpos_db_frac_dz	1						
ammonite_20070118	f_battpos_deadzone_width	1						
ammonite_20070118	f_battpos_nominal_vel	1						
ammonite_20070118	f_battpos_reqd_vel_frac	1						
ammonite_20070118	f_battpos_safety_max	1						
ammonite_20070118	f_battroll_cal_b	1						
ammonite_20070118	f_battroll_cal_m	1						
ammonite_20070118	f_battroll_db_frac_dz	1						
ammonite_20070118	f_battroll_deadzone_width	1						
ammonite_20070118	f_battroll_nominal_vel	1						
ammonite_20070118	f_battroll_offset	0						
ammonite_20070118	f_battroll_reqd_vel_frac	0						
ammonite_20070118	f_battroll_safety_max	1						
ammonite_20070118	f_crush_depth	1						
ammonite_20070118	f_de_ascent_oil_vol_drift	0						
ammonite_20070118	f_de_descent_oil_vol_drift	1						
ammonite_20070118	f_de_max_secs_for_updown_to_finish	1						
ammonite_20070118	f_de_oil_vol_db_frac_dz	1						
ammonite_20070118	f_de_oil_vol_deadz_width	1						
ammonite_20070118	f_de_oil_vol_in_system	1						
ammonite_20070118	f_de_oil_vol_pot_voltage_max	1						
ammonite_20070118	f_de_oil_vol_pot_voltage_min	1						
ammonite_20070118	f_de_oil_vol_safety_max	1						
ammonite_20070118	f_de_target_oil_drift_b	1						
ammonite_20070118	f_de_target_oil_drift_m	1						
ammonite_20070118	f_digifin_busy_timeout_secs	1						
ammonite_20070118	f_enable_picozoom	1						
ammonite_20070118	f_fin_cal_b	1						
ammonite_20070118	f_fin_cal_m	1						
ammonite_20070118	f_fin_db_frac_dz	1						
ammonite_20070118	f_fin_deadzone_width	1						
ammonite_20070118	f_fin_nominal_vel	1						
ammonite_20070118	f_fin_offset	0						
ammonite_20070118	f_fin_reqd_vel_frac	1						
ammonite_20070118	f_fin_safety_max	1						
ammonite_20070118	f_ignore_console_cd_time	1						
ammonite_20070118	f_leakdetect_threshold	1						
ammonite_20070118	f_max_time_per_device_ctrl	1						
ammonite_20070118	f_max_working_depth	1						
ammonite_20070118	f_motor_analyze_deadband	1						
ammonite_20070118	f_neutral_ballast	0						
ammonite_20070118	f_neutral_oil_volume	0						
ammonite_20070118	f_noise_floor	1						
ammonite_20070118	f_nominal_dive_rate	1						
ammonite_20070118	f_nominal_pitch	1						
ammonite_20070118	f_ocean_pressure_full_scale	1						
ammonite_20070118	f_ocean_pressure_max	1						
ammonite_20070118	f_ocean_pressure_min	1						
ammonite_20070118	f_pitch_battpos_cal_b	1						
ammonite_20070118	f_pitch_battpos_cal_m	1						
ammonite_20070118	f_sci_max_input_process_time	1						
ammonite_20070118	f_sci_max_sensors_per_call	1						
ammonite_20070118	f_tcm3_cal_points	1						
ammonite_20070118	f_thermal_acc_pres_full_scale	1						
ammonite_20070118	f_thermal_acc_pres_max	1						
ammonite_20070118	f_thermal_acc_pres_min	1						
ammonite_20070118	f_thermal_acc_vol_cal_p0	1						
ammonite_20070118	f_thermal_acc_vol_cal_v0	1						
ammonite_20070118	f_thermal_valve_time_over_slot	1						
ammonite_20070118	f_time_to_burn_wire	1						
ammonite_20070118	m_1meg_persistor	1						
ammonite_20070118	m_aground_water_depth	1						
ammonite_20070118	m_air_fill	1						
ammonite_20070118	m_air_pump	1						
ammonite_20070118	m_altimeter_status	1						
ammonite_20070118	m_altimeter_voltage	1						
ammonite_20070118	m_altitude	1						
ammonite_20070118	m_appear_to_be_at_surface	1						
ammonite_20070118	m_argos_is_xmitting	1						
ammonite_20070118	m_argos_on	1						
ammonite_20070118	m_argos_sent_data	1						
ammonite_20070118	m_at_risk_depth	1						
ammonite_20070118	m_avg_speed	1						
ammonite_20070118	m_avg_system_clock_lags_gps	1						
ammonite_20070118	m_avg_yo_time	1						
ammonite_20070118	m_ballast_pumped	0						
ammonite_20070118	m_ballast_pumped_energy	0						
ammonite_20070118	m_ballast_pumped_vel	0						
ammonite_20070118	m_battery	1						
ammonite_20070118	m_battery_inst	1						
ammonite_20070118	m_battpos	1						
ammonite_20070118	m_battpos_vel	1						
ammonite_20070118	m_battroll	0						
ammonite_20070118	m_battroll_vel	0						
ammonite_20070118	m_certainly_at_surface	1						
ammonite_20070118	m_chars_tossed_by_abend	1						
ammonite_20070118	m_chars_tossed_with_cd_off	1						
ammonite_20070118	m_chars_tossed_with_power_off	1						
ammonite_20070118	m_console_cd	1						
ammonite_20070118	m_console_on	1						
ammonite_20070118	m_console_to_science	0						
ammonite_20070118	m_cop_tickle	1						
ammonite_20070118	m_cycle_number	1						
ammonite_20070118	m_de_oil_vol	1						
ammonite_20070118	m_de_oil_vol_pot_voltage	1						
ammonite_20070118	m_de_pump	1						
ammonite_20070118	m_de_recall	1						
ammonite_20070118	m_de_updown	1						
ammonite_20070118	m_depth	1						
ammonite_20070118	m_depth_rate	1						
ammonite_20070118	m_depth_rejected	1						
ammonite_20070118	m_depth_state	1						
ammonite_20070118	m_device_drivers_called_abnormally	1						
ammonite_20070118	m_device_error	1						
ammonite_20070118	m_device_oddity	1						
ammonite_20070118	m_device_warning	1						
ammonite_20070118	m_digifin_error	1						
ammonite_20070118	m_digifin_error_max	1						
ammonite_20070118	m_digifin_error_min	1						
ammonite_20070118	m_digifin_motorstep_counter	0						
ammonite_20070118	m_digifin_motorstep_counter_delta	0						
ammonite_20070118	m_digifin_phases_attempted	0						
ammonite_20070118	m_digifin_phases_failed	0						
ammonite_20070118	m_digifin_status	0						
ammonite_20070118	m_disk_free	1						
ammonite_20070118	m_disk_usage	1						
ammonite_20070118	m_dist_to_wpt	1						
ammonite_20070118	m_dr_fix_time	1						
ammonite_20070118	m_dr_postfix_time	1						
ammonite_20070118	m_dr_surf_x_lmc	1						
ammonite_20070118	m_dr_surf_y_lmc	1						
ammonite_20070118	m_dr_time	1						
ammonite_20070118	m_dr_x_actual_err	1						
ammonite_20070118	m_dr_x_ini_err	1						
ammonite_20070118	m_dr_x_postfix_drift	1						
ammonite_20070118	m_dr_x_ta_postfix_drift	1						
ammonite_20070118	m_dr_y_actual_err	1						
ammonite_20070118	m_dr_y_ini_err	1						
ammonite_20070118	m_dr_y_postfix_drift	1						
ammonite_20070118	m_dr_y_ta_postfix_drift	1						
ammonite_20070118	m_fin	1						
ammonite_20070118	m_fin_vel	1						
ammonite_20070118	m_final_water_vx	1						
ammonite_20070118	m_final_water_vy	1						
ammonite_20070118	m_free_heap	1						
ammonite_20070118	m_gps_dist_from_dr	1						
ammonite_20070118	m_gps_fix_x_lmc	1						
ammonite_20070118	m_gps_fix_y_lmc	1						
ammonite_20070118	m_gps_full_status	1						
ammonite_20070118	m_gps_heading	1						
ammonite_20070118	m_gps_ignored_lat	1						
ammonite_20070118	m_gps_ignored_lon	1						
ammonite_20070118	m_gps_invalid_lat	1						
ammonite_20070118	m_gps_invalid_lon	1						
ammonite_20070118	m_gps_lat	1						
ammonite_20070118	m_gps_lon	1						
ammonite_20070118	m_gps_mag_var	1						
ammonite_20070118	m_gps_on	1						
ammonite_20070118	m_gps_postfix_x_lmc	1						
ammonite_20070118	m_gps_postfix_y_lmc	1						
ammonite_20070118	m_gps_speed	1						
ammonite_20070118	m_gps_status	1						
ammonite_20070118	m_gps_toofar_lat	1						
ammonite_20070118	m_gps_toofar_lon	1						
ammonite_20070118	m_gps_utc_day	1						
ammonite_20070118	m_gps_utc_hour	1						
ammonite_20070118	m_gps_utc_minute	1						
ammonite_20070118	m_gps_utc_month	1						
ammonite_20070118	m_gps_utc_second	1						
ammonite_20070118	m_gps_utc_year	1						
ammonite_20070118	m_gps_x_lmc	1						
ammonite_20070118	m_gps_y_lmc	1						
